timestep,generation,time,collection_time,train_time,return,episode_length,entropy,policy_loss,kl_approx,clip_fraction,ESS,value_loss,explained_variance
26000,26,2622.285824537277,2604.6961150169373,15.703154802322388,0.930070161819458,6.993007183074951,0.0069428374990820885,-0.0003989444066704382,-1.1568917957900519e-06,0.0,0.9999999995802281,2.237482054957141e-09,0.9999979132217031
27000,27,2741.3186066150665,2722.8544387817383,16.47327184677124,0.9230769276618958,6.993007183074951,0.006948963273316622,-8.380477115288983e-05,0.00027610791401762167,0.0011886727542236048,0.9999013774760792,2.7091829546612403e-07,0.9996928150615715
28000,28,2861.840788602829,2842.4919788837433,17.25157070159912,0.9236113429069519,6.94444465637207,0.005978739354759455,6.325104882214733e-05,6.007536559148974e-07,0.0,0.9999998322908774,2.276598021130432e-09,0.9999978946803973
29000,29,2982.371748685837,2962.098162651062,18.070188760757446,0.9236111044883728,6.94444465637207,0.005990602541714907,0.00020955789263335016,0.00047806287767540107,0.001470893522403927,0.9998288376785756,3.977234407248002e-06,0.9958798275757778
30000,30,3103.267078399658,3082.139723777771,18.830782890319824,0.930070161819458,6.993007183074951,0.00498871598392725,0.0010064983844556544,3.64020090009293e-06,0.0,0.9999999538395584,2.8866271526052947e-08,0.9999758580440953
31000,31,3223.608326435089,3201.525609731674,19.670246839523315,0.9230769276618958,6.993007183074951,0.005028428044170141,5.075245843844092e-05,0.0002052913818953773,0.0006806483352928379,0.999949614945892,4.068842106439019e-06,0.996258760556337
32000,32,3344.128083705902,3320.5993826389313,20.745005130767822,0.9236111044883728,6.94444465637207,0.0049055349081754684,0.0009982689890556987,0.00013734681332434,0.0005835471456241799,0.9999510553181672,9.787666878739297e-07,0.9987797197453456
33000,33,3465.161523580551,3440.7210128307343,21.544475078582764,0.9236113429069519,6.94444465637207,0.004395459312945604,9.379868482231456e-06,5.403598500448165e-07,0.0,1.0000000693697761,3.4305011776150857e-09,0.9999962871682608
34000,34,3584.083261489868,3558.6506469249725,22.417387008666992,0.930070161819458,6.993007183074951,0.004396859090775251,-4.4536719490946526e-05,1.3701817791776297e-07,0.0,1.0000004119913841,1.501386902963773e-09,0.9999984107370634
35000,35,3705.3182475566864,3678.993621826172,23.19160294532776,0.9230770468711853,6.993007183074951,0.004403962288051844,1.869239130234489e-05,3.541261376238819e-07,0.0,0.9999998157130753,2.914480750511509e-10,0.9999997241674816
36000,36,3825.5312774181366,3798.2629420757294,24.01273202896118,0.9236113429069519,6.94444465637207,0.004403853323310614,-1.4211240941292244e-05,1.8952071900804086e-07,0.0,1.0000000710826291,1.2951015590526604e-10,0.999999893118053
37000,37,3947.215190410614,3919.038831949234,24.758535146713257,0.9236113429069519,6.94444465637207,0.004406184423714876,-2.388608631605829e-05,2.0177289532011205e-07,0.0,1.0000000694757936,4.3705418833068863e-10,0.999999692722512
38000,38,4068.9718182086945,4039.7435727119446,25.679773092269897,0.9236113429069519,6.94444465637207,0.0044090659357607365,6.7519914682589344e-06,3.20145420202894e-07,0.0,0.9999998157624888,1.7663766851201246e-11,0.9999999965792221
39000,39,4193.470903158188,4163.280364990234,26.488765001296997,0.9236113429069519,6.94444465637207,0.0044127595610916615,-1.343066219675956e-06,2.555058457057538e-07,0.0,0.9999998853621057,7.997538800473366e-12,0.9999999982461185
